ST,AL,,AK,,AZ,,AR,,CA,,CO,,CT,,DE,,FL,,GA,,HI,,ID,,IL,,IN,,IA,,KS,,KY,,LA,,ME,,MD,,MA,,MI,,MN,,MS,,MO,,MT,,NE,,NV,,NH,,NJ,,NM,,NY,,NC,,ND,,OH,,OK,,OR,,PA,,RI,,SC,,SD,,TN,,TX,,UT,,VT,,VA,,WA,,WV,,WI,,WY,
T01,000000321530,,000000215407,,000000754428,,000001008707,,000002079878,,000000000000,,000000000000,,000000000000,,000000000140,,000000068951,,000000000000,,000000000000,,000000065106,,000000006336,,000000000000,,000000074413,,000000529567,,000000050937,,000000038360,,000000755937,,000000004441,,000001911188,,000000807700,,000000023982,,000000029217,R,000000257189,,000000000078,,000000234522,,000000380682,,000000005650,,000000081190,R,000000000000,,000000000000,,000000002398,,000000000000,,000000000000,,000000015710,,000000038452,,000000002095,,000000008811,,000000000000,,000000000000,,000000000000,,000000000000,,000000924451,R,000000034297,,000001897095,,000000006039,,000000155571,,000000316734,
T09,000002274658,,000000000000,,000006210756,,000002809416,,000031253629,,000002302333,,000003758881,R,000000000000,,000019403788,,000005303524,,000002697951,,000001224656,,000008034466,,000006631954,R,000002523266,,000002825880,,000003052236,,000002815919,,000001064342,,000004076578,,000005079105,,000008933937,,000004942140,,000003072243,,000003103410,,000000000000,,000001570450,,000003433958,,000000000000,,000008099549,,000002032518,,000011904357,,000005573658,,000001122783,,000008277130,,000002415964,,000000000000,,000009166842,,000000848547,,000002926177,,000000838240,,000005933356,R,000029002557,R,000001857035,,000000342085,,000003487343,,000010614137,,000001277328,,000004288739,,000000747804,
T10,000000173251,,000000040230,,000000068379,,000000048803,,000000346000,,000000038817,,000000060595,,000000017654,,000000527016,,000000175051,,000000048854,,000000008099,,000000279270,,000000044155,,000000014727,,000000118202,,000000118253,,000000056869,,000000017352,,000000031010,,000000077861,,000000149629,,000000079389,,000000042183,,000000034341,,000000034019,,000000028472,,000000041695,,000000009723,,000000135304,,000000044676,R,000000238932,,000000322970,,000000008463,,000000098113,,000000103831,,000000017322,,000000324024,,000000012871,,000000153951,,000000015449,,000000133055,,000000941461,R,000000045823,,000000022403,,000000198107,,000000349164,,000000017204,,000000056278,,000000001742,
T11,000000000053,,000000007712,,000000000521,,000000027640,,000000000000,,000000093223,,000000380376,,000000000000,,000000157108,,000000000000,,000000000000,,000000000000,,000000546819,,000000829177,R,000000294886,,000000000389,,000000000164,,000000671080,,000000028640,,000000027504,,000000003082,,000000115753,,000000042182,,000000152077,,000000390779,,000000053596,,000000003082,,000000910839,,000000000431,,000000239324,,000000069557,R,000000000769,,000000013855,,000000006027,,000000019760,,000000018946,,000000000048,,000001499664,,000000000000,,000000038848,,000000009200,,000000000000,,000000029296,R,000000000000,,000000000000,,000000000081,,000000000000,,000000078121,,000000000260,,000000000000,
T12,000000278242,,000000061684,,000000426497,,000000156828,,000002416073,,000000197914,,000000205587,R,000000091763,,000000704760,,000000309193,,000000122401,,000000069722,,000000369117,,000000207419,R,000000101406,,000000166405,,000000133070,,000000357043,,000000108605,,000000428024,,000000342201,,000000290385,,000000360794,,000000189373,,000000270169,,000000070779,,000000046482,,000000237861,,000000073808,,000000532307,,000000147494,R,000001339033,,000000479756,,000000042819,,000000477982,,000000228915,,000000100821,,000000790781,,000000093319,,000000144072,,000000067000,,000000639222,,000001442640,R,000000104443,,000000059000,,000000390950,,000000430052,,000000144786,,000000165758,,000000026056,
T13,000000541499,,000000040980,,000000896983,,000000467055,,000005544530,,000000630573,,000000487104,R,000000112908,,000002273685,,000001019300,,000000093349,,000000236769,,000001290266,,000000814818,,000000440161,,000000435049,,000000790229,,000000575063,,000000242124,,000000733410,,000000661974,R,000000951176,,000000849218,,000000417048,,000000708997,,000000211992,,000000299764,,000000291400,,000000143794,,000000539714,,000000234986,R,000001604727,,000001861838,,000000204573,,000001684209,,000000444636,,000000533420,,000002073677,,000000080911,,000000531615,,000000136431,,000000837787,,000003178419,R,000000372212,,000000108177,,000000866243,,000001177987,,000000387040,,000000985001,,000000066443,
T14,000000001841,,000000000000,,000000000254,,000000003526,,000000015838,,000000000595,,000000006876,,000000000096,,000000009360,,000000000000,,000000000000,,000000001269,,000000007212,,000000003075,,000000004054,,000000000000,,000000003601,,000000005037,,000000002379,,000000001267,,000000001635,,000000004985,,000000000577,,000000000000,,000000000000,,000000000015,,000000000267,,000000000000,,000000000483,,000000000000,,000000000851,R,000000022361,,000000000000,,000000000581,,000000007122,,000000001388,,000000001132,,000000014820,,000000001587,,000000000000,,000000000634,,000000000000,,000000007142,,000000000000,,000000000000,,000000000000,,000000001734,,000000002337,,000000000000,,000000000068,
T15,000000736533,,000000004114,,000000021339,,000000000000,,000000766361,,000000011974,,000000331015,R,000000059694,,000003162560,,000000000000,,000000150528,,000000002983,,000001750459,,000000224659,R,000000000000,,000000000317,,000000064919,,000000012796,,000000028548,,000000127106,,000000023925,,000000027865,,000000000049,,000000001894,,000000000000,,000000049740,,000000055658,,000000022717,,000000083884,,000000958425,,000000030342,R,000000942585,,000000381934,R,000000040289,,000001051730,,000000039353,,000000094132,,000001336501,,000000101408,,000000022045,,000000003676,,000000009318,,000000768762,R,000000025824,,000000013267,,000000150759,,000000460025,,000000155560,,000000388205,,000000004443,
T16,000000126151,,000000067382,,000000319467,,000000246976,,000000895677,,000000203399,,000000418231,,000000120850,,000000381485,,000000227146,,000000121971,,000000048461,,000000606422,,000000465200,,000000225499,,000000103639,,000000276544,,000000133194,,000000139729,,000000411427,,000000573759,,000000964748,,000000421545,,000000157433,,000000104918,,000000087148,,000000067585,,000000102644,,000000215161,,000000792066,,000000085493,R,000001631995,,000000294754,,000000028240,,000000843180,,000000292973,,000000255652,,000001118961,,000000132132,,000000026247,,000000060372,,000000279017,,000001463793,R,000000123988,,000000080230,,000000192441,,000000470765,,000000109618,,000000653275,,000000025984,
T19,000000494129,,000000026330,,000000121928,,000000222588,,000000103080,,000000611817,,000001109299,R,000000088079,,000000647434,,000000357653,,000000346598,,000000072656,,000001411657,,000000705093,R,000000028918,,000000035714,,000000708873,R,000000261853,,000000117096,,000001337189,,000000549350,,000001216069,,000002443260,,000000364418,,000000152326,,000000037444,,000000022013,,000000190848,,000000347753,,000000712863,,000000120781,R,000005184568,,000000611677,,000000140754,,000000664910,,000000162934,,000000396471,,000000826363,,000000203772,,000000331671,,000000066565,,000000551434,,000004142050,R,000000192803,,000000343141,,000000574653,,000000667579,,000000387592,,000000470506,,000000001300,
T20,000000004229,,000000001864,,000000004918,,000000004170,,000000053169,,000000006221,,000000008378,,000000001465,,000000008268,,000000002357,,000000000000,,000000001399,,000000011845,,000000012216,R,000000014210,,000000004530,,000000005917,,000000000000,,000000004827,,000000001201,,000000003003,,000000016424,,000000002030,,000000002918,,000000004965,,000000002030,,000000001405,,000000000000,,000000004011,,000000003960,,000000000000,,000000059079,,000000016026,,000000000325,,000000039735,,000000000920,,000000003577,,000000016304,,000000000063,,000000009086,,000000000811,,000000001320,,000000068642,R,000000001936,,000000000391,,000000012038,,000000033912,,000000001337,,000000001707,,000000000000,
T21,000000000000,,000000000001,,000000000000,,000000000450,,000000015850,,000000000837,,000000000212,,000000000402,,000000012000,,000000000785,,000000000000,,000000000321,,000000074255,,000000008098,R,000000019239,,000000000016,,000000000272,,000000000000,,000000000701,,000000000026,,000000000436,,000000000000,,000000001130,,000000011753,,000000001803,,000000004409,,000000000777,,000000095410,,000000000222,,000000054319,,000000000392,,000000000040,,000000000000,,000000000814,,000000120505,,000000148684,,000000002739,,000000024206,,000000000119,,000000001953,,000000007568,,000000000166,,000000019917,R,000000000000,,000000000035,,000000000093,,000000006116,,000000003745,,000000000619,,000000000000,
T22,000000130843,,000000000000,,000000010518,,000000024690,,000000053003,,000000015690,,000000027947,,000000790579,,000000275849,,000000044089,,000000001539,,000000001963,,000000321319,,000000007113,,000000034710,,000000021180,,000000099585,,000000105495,,000000008541,,000000096412,,000000025968,,000000021662,,000000007076,,000000146255,,000000063338,,000000003222,,000000026330,,000000066708,,000000037582,,000000214348,,000000021647,R,000000052469,,000000523265,R,000000000000,,000001681619,,000000051032,,000000019425,,000000656221,,000000004631,,000000100686,,000000004213,,000000736743,,000000105633,R,000000000547,,000000002023,,000000057209,,000000030083,,000000004323,,000000018979,,000000012720,
T23,000000020688,,000000027316,,000000029258,,000000021696,,000000098840,,000000067629,,000000004714,,000000002736,,000000015379,,000000023840,,000000000465,,000000033590,,000000041177,,000000017733,R,000000029286,,000000024258,,000000026595,,000000028948,,000000015904,,000000015858,,000000005921,,000000048638,,000000055638,,000000015462,,000000032489,,000000044661,,000000014459,,000000009810,,000000010031,,000000013238,,000000025827,R,000000056286,,000000017065,,000000013301,,000000039096,,000000022082,,000000046149,,000000073710,,000000001666,,000000018176,,000000029352,,000000032592,,000000102661,R,000000028720,,000000006502,,000000027491,,000000041826,,000000000104,,000000069824,,000000035612,
T24,000000201875,,000000058196,,000000169370,,000000154095,,000003529137,,000000455744,,000000209109,,000000049601,,000001305028,,000000308342,,000000206164,,000000127813,,000001620595,,000000222255,R,000000520946,,000000184515,,000000188714,,000000132032,,000000099135,,000000443956,,000000376552,,000000912032,,000000631436,,000000134477,,000000267641,,000000142901,,000000123190,,000000160840,,000000094063,,000000605628,,000000177487,R,000001418700,,000000569253,,000000105450,,000000714980,,000000665123,,000000509049,,000000837990,,000000064889,,000000205110,,000000064710,,000000262243,,000001971308,R,000000158169,,000000064294,,000000431651,,000000471016,,000000003261,,000000463896,,000000065733,
T25,000000021679,,000000000000,,000000029898,,000000017604,,000000306882,,000000030986,,000000043522,,000000005470,,000000350141,,000000046986,,000000000487,,000000011463,,000000104581,,000000228468,R,000000008062,,000000021500,,000000015738,,000000012160,,000000010660,,000000026244,,000000098899,,000000055946,,000000045095,,000000040409,,000000017686,,000000008950,,000000005216,,000000022036,,000000012803,,000000052663,,000000003701,R,000000132129,,000000123344,,000000005071,,000000081026,,000000015066,,000000029298,,000000062348,,000000003980,,000000009270,,000000003792,,000000046494,,000000130838,,000000014987,,000000007963,,000000060282,,000000069745,,000000104388,,000000041295,,000000002158,
T27,000000014367,,000000000604,,000000016299,,000000010015,,000000289461,,000000012349,,000000000676,,000000000000,,000000027321,,000000000000,,000000017810,,000000049085,,000000017936,,000000000000,,000000011711,,000000004581,,000000000000,,000000008989,,000000000000,,000000000000,,000000000000,,000000023773,,000000000137,,000000008826,,000000019495,,000000000010,,000000000000,,000000000000,,000000006980,,000000007094,,000000000130,R,000000020347,,000000000000,,000000000006,,000000025436,,000000000004,,000000016397,,000000066778,,000000000000,,000000000000,,000000000000,,000000006967,,000000018509,,000000000000,,000000000000,,000000000000,,000000018862,,000000000395,,000000080976,,000000000000,
T28,000000123994,,000000038936,,000000128759,,000000125492,,000004293352,,000000038705,,000000118782,,000000374732,,000000203720,,000000073556,,000000031168,,000000069894,,000000390975,,000000043865,,000000111672,,000000052267,,000000122373,,000000110325,,000000104561,,000000145252,,000000258897,,000000160872,,000000373790,,000000091660,,000000134353,,000000099751,,000000011658,,000000225292,,000000096048,,000000472006,,000000045791,R,000000186278,,000000216751,,000000062880,,000000861301,,000000108721,,000000301940,,000000890117,,000000047168,,000000128758,,000000124647,,000000296144,,000000618514,R,000000047700,,000000018103,,000000183905,,000000253245,,000000012994,,000000395278,,000000023822,
T29,000000000001,,000000008138,,000000004358,,000000000800,,000000018347,,000000000940,,000000003056,,000000005399,,000000007670,,000000005663,,000000001162,,000000003915,,000000019613,,000000079716,R,000000001791,,000000002564,,000000004599,,000000004263,,000000008075,,000000001929,,000000130006,,000000175639,,000000070402,,000000066223,,000000021800,,000000009637,,000000000000,,000000003733,,000000000659,,000000002185,,000000000000,,000000001476,,000000010313,R,000000000000,,000000016785,,000000021349,,000000006300,,000000018819,,000000006693,,000000015549,R,000000015479,,000000008638,,000000171413,R,000000003620,,000000001850,,000000004518,,000000070014,,000000007123,,000000005168,,000000000000,
T40,000003017437,,000000000000,,000003093904,,000002401902,,000055024435,,000004875627,,000007371189,,000001126014,,000000000000,,000008142371,,000001540746,,000001213335,,000015512310,,000004765467,R,000003029709,,000002891743,,000003512075,,000002474606,,000001441926,,000007116605,,000011954838,R,000006921033,,000007988084,,000001501267,,000005131686,,000000900180,,000001838344,,000000000000,,000000081557,,000011128418,,000001126460,R,000038771968,,000010383796,,000000432527,,000009029349,,000002774376,,000005825797,,000010102113,,000001068466,,000003096834,,000000000000,,000000182251,,000000000000,,000002466495,,000000598450,,000010216148,,000000000000,,000001755746,,000006762399,,000000000000,
T41,000000413253,,000000663144,,000000647809,,000000404083,,000007949000,,000000492224,,000000625320,R,000000262378,,000002003490,,000000590676,,000000080256,,000000188589,,000003494539,,000000794508,,000000425776,,000000317578,,000000575164,,000000290389,,000000232118,,000000880356,,000002001780,,000000804037,,000001066022,,000000395679,,000000301681,,000000132361,,000000234296,,000000000000,,000000521309,,000001929133,,000000276707,R,000004567889,,000001220072,,000000215622,,000000117446,,000000446009,,000000433126,,000001837374,,000000136362,,000000252904,,000000059837,,000001115383,,000000000000,,000000258578,,000000096579,,000000838790,,000000000000,,000000192385,,000000934103,,000000000000,
T50,000000000303,,000000000000,,000000000200,,000000000000,,000000000000,,000000000290,,000000174554,,000000012017,,000000000360,,000000000028,,000000014125,,000000000000,,000000234864,,000000175954,,000000079670,,000000000694,,000000041313,,000000001073,,000000044865,,000000196875,,000000293269,,000000000241,,000000165983,,000000000012,,000000000162,,000000000001,,000000001017,,000000000000,,000000000000,,000000641868,,000000000000,,000001078516,,000000058323,,000000000001,,000000066522,,000000000135,,000000101816,,000000804731,,000000042112,,000000000003,,000000000000,,000000149344,,000000000000,,000000000000,,000000013335,,000000000298,,000000104592,,000000000016,,000000000323,,000000000038,
T51,000000036271,,000000000000,,000000000000,,000000025750,,000000000000,,000000000000,,000000130014,,000000157025,,000001470590,,000000015705,,000000040572,,000000000000,,000000052959,,000000000000,,000000012795,,000000000000,,000000003255,,000000000000,,000000018642,,000000127575,,000000186202,,000000150107,,000000160493,,000000000000,,000000004611,,000000000000,,000000010719,,000000052131,,000000084061,,000000316113,,000000000000,,000000710877,,000000034345,,000000000000,,000000000000,,000000012570,,000000003655,,000000342506,,000000015397,,000000040873,R,000000000193,,000000136224,,000000000000,,000000000000,,000000024298,R,000000313052,,000000420464,,000000008128,,000000039843,,000000000000,
T53,000000116467,,000005787360,,000000040578,,000000082770,,000000037112,,000000175090,,000000000064,,000000000000,,000000049860,,000000000000,,000000000000,,000000008309,R,000000000000,,000000002212,,000000000000,,000000132907,,000000346050,,000000885982,,000000000000,,000000000000,,000000000000,,000000063602,,000000046370,,000000116379,,000000000002,,000000305617,,000000005355,,000000303038,,000000000000,,000000000000,,000000944952,R,000000000000,,000000001562,,000001713225,,000000010182,,000000848947,,000000014119,,000000000000,,000000000000,,000000000000,,000000013759,,000000002450,,000003807555,R,000000107075,,000000000000,,000000001986,,000000036302,,000000626203,,000000005013,,000000968525,
T99,000000000000,,000000000000,,000000000000,,000000022688,,000000088914,,000000000000,,000000005364,,000000001323,,000000000000,,000000000000,,000000000000,,000000000000,R,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000112819,,000000167788,,000000000000,,000000000000,,000000001394,,000000005991,,000000003672,,000000000000,,000000369630,,000000000000,,000000000000,,000000000000,,000001620364,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,R,000000026615,,000000000000,,000000000000,,000000000000,,000000019930,R,000000000000,,000000000000,,000000004459,,000000102562,,000000000000,,000000000000,,000000012319,,000000005446,
